is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
1,-48.09660539596786,-50.35485099577544,-27.25018862462616,-35.501595940681696,-43.84712873441571,1,2,1
0,-65.40449240695175,-68.14791816545365,-93.53636423955751,-67.43854576185461,-93.465401678819,0,0,0
0,-92.02255907601095,-95.26046570413556,-89.76114042013234,-110.05690267830593,-118.95090120205064,0,0,0
1,-50.94242701858121,-53.38016288615249,-39.108283923891285,-30.76392297545609,-62.6749121957486,0,0,0
1,-70.32356720275408,-72.23334621211072,-62.01228427210016,-65.48568163038924,-85.4615165815844,0,0,1
0,-92.02255907601095,-95.26046570413556,-89.76114042013234,-110.05690267830593,-118.95090120205064,0,0,0
1,-50.94242701858121,-53.38016288615249,-39.108283923891285,-30.76392297545609,-62.6749121957486,0,0,0
1,-70.32356720275408,-72.23334621211072,-62.01228427210016,-65.48568163038924,-85.4615165815844,0,0,1
0,-93.23239648379369,-95.23695554385031,-62.994151988284464,-85.48081009819977,-112.13064208027903,0,0,0
1,-51.76636672111923,-51.76636672111923,-36.45615704110843,-31.20575363473033,-62.70321383345176,0,0,0
1,-48.34980110278573,-50.63432182902756,-44.97941713678019,-35.85237450515802,-58.37789034102006,0,1,0
0,-66.57048463673136,-69.3240200518859,-87.85445244945048,-67.94397057390499,-89.46108446876678,0,0,1
0,-77.9524054992175,-81.22688979606008,-69.44052459165896,-95.97861886751753,-98.7845628767152,0,0,0
1,-50.536962360922985,-53.05765128392748,-27.247135188819733,-30.600043015397254,-34.5695342310574,4,4,4
1,-57.19118366610168,-59.04228738379642,-36.46027964551168,-39.555381055028825,-64.66353165695546,0,0,1
0,-77.9524054992175,-81.22688979606008,-69.44052459165896,-95.97861886751753,-98.7845628767152,0,0,0
1,-50.536962360922985,-53.05765128392748,-27.247135188819733,-30.600043015397254,-34.5695342310574,4,4,4
1,-57.19118366610168,-59.04228738379642,-36.46027964551168,-39.555381055028825,-64.66353165695546,0,0,1
0,-79.16224290700023,-81.2001847408084,-53.494966061362085,-71.43811014505128,-95.21073272540886,0,0,0
1,-51.692928299625216,-51.692928299625216,-27.24359919363496,-29.59268874197799,-51.8188184955452,0,0,4
1,-48.6807199606763,-50.90962795781931,-35.76897674454408,-49.00909945027365,-49.01420527564034,1,1,1
0,-81.66503469999289,-84.41857011514742,-116.17887081046977,-82.53182766049495,-116.51869594313382,0,0,0
0,-92.02255907601095,-95.36774903295715,-87.28691424519207,-106.8940905258644,-118.20863334956857,0,0,0
1,-50.94242701858121,-53.434135438678595,-37.84379494686479,-30.9810829763626,-56.8025040593001,0,0,2
1,-72.12361474738228,-73.97471846507702,-73.30204121445614,-53.571522708781075,-94.11422711171912,0,0,0
