is_gold,cnt_root_lp,sum_root_lp,sum_leaf_lp,sum_bl_lp,cur_score,chunk_pool_match,L_trans,R_trans
1,-74.43900856469664,-77.34368742839655,-55.78167411441606,-52.51803095273348,-91.17351079902146,0,0,0
0,-68.66944084546971,-73.9192678010652,-105.2038152779873,-85.62462426807622,-100.2305854288659,0,0,0
1,-51.44906156738982,-54.463034351142994,-55.781772038429615,-43.089068138298394,-68.1835931789187,0,0,0
1,-74.43900856469664,-77.34368742839655,-55.78167411441606,-52.51803095273348,-91.17351079902146,0,0,0
0,-66.54455173693216,-69.31242163181452,-91.729499997279,-77.99368045940177,-94.06340173611586,0,0,0
1,-61.04075169558524,-61.04075169558524,-64.09300053043646,-42.59161648571741,-80.26865185471618,0,0,0
1,-49.670082549253195,-52.57485379867932,-46.57123372217995,-47.480636459889034,-60.17571676310745,0,0,1
0,-66.35489342524275,-70.4941216104683,-71.2095153400941,-62.89909589575,-84.25201212447125,0,0,1
0,-66.14830264778433,-71.97689163164927,-107.16240013613762,-102.83140844314906,-98.29702268862562,0,0,0
0,-54.202011670380216,-60.16495243177385,-73.17078366632066,-62.87760314074207,-76.15324677027641,0,0,0
0,-56.268509025787665,-62.31036439981967,-68.91208706798267,-56.18071111943386,-76.94213514618247,0,0,0
0,-55.9006230207566,-61.14709715722873,-71.21219880817034,-59.25283475962121,-66.86707495480852,1,1,1
1,-52.66393089064576,-57.23925023099639,-64.99480517673726,-57.728775646491236,-72.16237244366694,0,0,0
0,-51.64956879883939,-54.569050659232715,-75.46566712762333,-51.03960737361729,-74.2892689371264,0,0,0
1,-67.98228510970259,-70.83972064094401,-48.527345211212356,-47.37465465455248,-82.54048867306629,0,0,0
0,-66.14830264778433,-71.97689163164927,-107.16240013613762,-102.83140844314906,-98.29702268862562,0,0,0
0,-54.202011670380216,-60.16495243177385,-73.17078366632066,-62.87760314074207,-76.15324677027641,0,0,0
0,-56.268509025787665,-62.31036439981967,-68.91208706798267,-56.29615203844092,-76.94213514618247,0,0,0
0,-55.9006230207566,-61.14709715722873,-71.21219880817034,-57.290648331807745,-66.86707495480852,1,1,1
1,-52.66393089064576,-57.23925023099639,-64.99480517673726,-57.728775646491236,-72.16237244366694,0,0,0
0,-51.64956879883939,-54.569050659232715,-75.46566712762333,-51.03960737361729,-74.2892689371264,0,0,0
1,-67.98228510970259,-70.83972064094401,-48.527345211212356,-47.37465465455248,-82.54048867306629,0,0,0
0,-66.14830264778433,-71.97689163164927,-107.16240013613762,-102.83140844314906,-98.29702268862562,0,0,0
0,-54.202011670380216,-60.16495243177385,-73.17078366632066,-62.87760314074207,-76.15324677027641,0,0,0
0,-56.268509025787665,-62.31036439981967,-68.91208706798267,-58.4673578758487,-76.94213514618247,0,0,0
1,-49.31574811707843,-53.44955049746236,-68.56040459076432,-50.87948039541898,-66.41813359150801,0,1,0
0,-49.375570270024774,-52.48428343133341,-64.99221243066573,-49.90339430687821,-68.8732339992245,0,0,0
1,-67.98228510970259,-70.83972064094401,-48.527345211212356,-48.603915300069325,-82.54048867306629,0,0,0
0,-66.14830264778433,-71.97689163164927,-107.16240013613762,-102.83140844314906,-98.29702268862562,0,0,0
0,-54.202011670380216,-60.16495243177385,-73.17078366632066,-62.87760314074207,-76.15324677027641,0,0,0
0,-47.78756582624811,-52.31163010851741,-40.96492117599196,-45.546408071090404,-60.0770421790457,0,0,0
1,-51.96269497830411,-54.629891179646044,-46.5713316461935,-56.85905003627001,-62.46835856936243,0,0,1
1,-67.98228510970259,-70.83972064094401,-48.527345211212356,-48.41161937942344,-82.54048867306629,0,0,0
0,-66.14830264778433,-71.97689163164927,-107.16240013613762,-102.83140844314906,-98.29702268862562,0,0,0
0,-54.202011670380216,-60.16495243177385,-73.17078366632066,-62.87760314074207,-76.15324677027641,0,0,0
1,-48.06507477287704,-51.122532876104344,-46.5713316461935,-47.96932807964445,-62.03647426673509,0,0,0
1,-67.98228510970259,-70.83972064094401,-48.527345211212356,-48.41161937942344,-82.54048867306629,0,0,0
0,-66.14830264778433,-71.97689163164927,-107.16240013613762,-102.83140844314906,-98.29702268862562,0,0,0
